SEQ_NO,KEORAEIL,SUNAPIL,HOIGYE_YEAR,YEAR_GUBUN,GEUMGO_CODE,BANK_GUBUN,MNGBR,ORG_MNGBR,GEORAE_GUBUN,GEORAE_CHANNEL,GUNGU_CODE,JIBGYE_CODE,BONSE_CNT,BONSE_AMT,SEWOI_CNT,SEWOI_AMT,GYOYUKSE_CNT,GYOYUKSE_AMT,NONGTEUKSE_CNT,NONGTEUKSE_AMT,SEIPGYEJWA,JUSEOK,ICHEIL,HOIKYE_SMOK_C,TAX_NO,GIROCD,SUNP_M_G,FIL_DT1,FIL_DT2,FIL_DT3,FIL_DT4,FIL_DT5,FIL_5_NO1,FIL_5_NO2,FIL_5_NO3,FIL_5_NO4,FIL_5_NO5,FIL_18_AMT1,FIL_18_AMT2,FIL_18_AMT3,FIL_18_AMT4,FIL_18_AMT5,DR_DTTM,DROKJA_ID,UPD_DTTM,MODR_ID,KJ_DT
522,20241011,20241002,2023,9,28,366,0,0,1,39,170,104000,1,41710,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
540,20241011,20241002,2023,9,28,3,1111,1111,1,6,237,104000,1,101430,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
541,20241011,20241002,2023,9,28,3,1111,0,1,6,237,103000,1,8100,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
558,20241011,20241002,2023,5,28,88,7127,7127,1,6,200,104000,0,0,8,589350,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
559,20241011,20241002,2023,9,28,88,7127,7127,1,8,170,104000,0,0,1,40620,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
562,20241011,20241002,2023,5,28,99,9853,9853,1,4,237,104000,1,112690,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
563,20241011,20241002,2023,5,28,99,9853,0,1,4,237,103000,2,25130,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
567,20241011,20241002,2023,9,28,365,0,0,1,39,260,104000,4,485640,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
568,20241011,20241002,2023,9,28,365,0,0,1,39,260,103000,7,86230,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
579,20241011,20241002,2023,9,28,374,0,0,1,39,237,104000,1,70640,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
580,20241011,20241002,2023,9,28,374,0,0,1,39,237,103000,2,13350,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
585,20241011,20241002,2023,9,28,381,0,0,1,39,200,104000,2,43940,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
600,20241011,20241002,2023,9,28,88,1,1,1,5,200,104000,1,77250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
601,20241011,20241002,2023,9,28,88,1,0,1,5,200,103000,1,19310,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
602,20241011,20241002,2023,9,28,88,1,1,1,5,260,104000,6,899600,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
603,20241011,20241002,2023,9,28,88,1,0,1,5,260,103000,10,189900,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
610,20241011,20241002,2023,5,28,88,7127,7127,1,5,185,104000,2,141770,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
611,20241011,20241002,2023,5,28,88,7127,0,1,5,185,103000,4,15940,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
612,20241011,20241002,2023,5,28,88,7127,7127,1,5,200,104000,2,55350,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
613,20241011,20241002,2023,5,28,88,7127,0,1,5,200,103000,4,44650,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
